Type:          average
Points:        1350
Count:         16
XInc:          3.7037037E-011
XOrg:          2.4050000000E-008
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        5.00000E-008
XOffset:       2.4050000000E-008
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:37:56:15
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
2.4050000E-008, 2.90E-002
2.4087037E-008, 3.16E-002
2.4124074E-008, 3.41E-002
2.4161111E-008, 4.93E-002
2.4198148E-008, 3.66E-002
2.4235185E-008, 6.96E-002
2.4272222E-008, 2.40E-002
2.4309259E-008, 6.96E-002
2.4346296E-008, 6.71E-002
2.4383333E-008, 6.20E-002
2.4420370E-008, -9.0E-003
2.4457407E-008, 4.43E-002
2.4494444E-008, 3.41E-002
2.4531481E-008, 4.68E-002
2.4568519E-008, 4.43E-002
2.4605556E-008, 3.92E-002
2.4642593E-008, 4.93E-002
2.4679630E-008, 5.95E-002
2.4716667E-008, 3.41E-002
2.4753704E-008, 7.72E-002
2.4790741E-008, 8.23E-002
2.4827778E-008, 8.23E-002
2.4864815E-008, 2.90E-002
2.4901852E-008, 3.92E-002
2.4938889E-008, 4.68E-002
2.4975926E-008, 3.66E-002
2.5012963E-008, 1.38E-002
2.5050000E-008, 5.95E-002
2.5087037E-008, 5.69E-002
2.5124074E-008, 5.44E-002
2.5161111E-008, 4.17E-002
2.5198148E-008, 3.92E-002
2.5235185E-008, 2.65E-002
2.5272222E-008, 3.92E-002
2.5309259E-008, 4.17E-002
2.5346296E-008, 5.95E-002
2.5383333E-008, 4.43E-002
2.5420370E-008, 1.000E-001
2.5457407E-008, 2.65E-002
2.5494444E-008, 6.96E-002
2.5531481E-008, 5.44E-002
2.5568519E-008, 1.38E-002
2.5605556E-008, 7.97E-002
2.5642593E-008, 6.20E-002
2.5679630E-008, 4.17E-002
2.5716667E-008, 2.14E-002
2.5753704E-008, 5.95E-002
2.5790741E-008, 2.14E-002
2.5827778E-008, 3.16E-002
2.5864815E-008, 4.93E-002
2.5901852E-008, 7.72E-002
2.5938889E-008, 6.45E-002
