Type:          raw
Points:        1350
Count:         1
XInc:          1.4814815E-011
XOrg:          4.5980000000E-008
YData range:   8.07981E+001
YData center:  1.39000E+001
Coupling:      50 Ohms
XRange:        2.00000E-008
XOffset:       4.5980000000E-008
YRange:        8.00000E+001
YOffset:       1.39000E+001
Date:          14 JUN 2023
Time:          11:33:47:68
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
4.5980000E-008, -6.36E-001
4.5994815E-008, -4.42E-001
4.6009630E-008, -3.79E-001
4.6024444E-008, -4.42E-001
4.6039259E-008, -4.42E-001
4.6054074E-008, -4.42E-001
4.6068889E-008, -5.72E-001
4.6083704E-008, -3.15E-001
4.6098519E-008, -4.42E-001
4.6113333E-008, -3.79E-001
4.6128148E-008, -3.79E-001
4.6142963E-008, -3.15E-001
4.6157778E-008, -3.15E-001
4.6172593E-008, -2.51E-001
4.6187407E-008, -3.15E-001
4.6202222E-008, -3.15E-001
4.6217037E-008, -3.79E-001
4.6231852E-008, -3.15E-001
4.6246667E-008, -2.51E-001
4.6261481E-008, -3.79E-001
4.6276296E-008, -2.51E-001
4.6291111E-008, -1.80E-001
4.6305926E-008, -1.80E-001
4.6320741E-008, -3.79E-001
4.6335556E-008, -2.51E-001
4.6350370E-008, -2.51E-001
4.6365185E-008, -1.80E-001
4.6380000E-008, -3.15E-001
4.6394815E-008, -3.79E-001
4.6409630E-008, -3.15E-001
4.6424444E-008, -4.42E-001
4.6439259E-008, -3.79E-001
4.6454074E-008, -4.42E-001
4.6468889E-008, -2.51E-001
4.6483704E-008, -1.11E-001
4.6498519E-008, -2.51E-001
4.6513333E-008, -4.42E-001
4.6528148E-008, -1.80E-001
4.6542963E-008, -2.51E-001
4.6557778E-008, -1.80E-001
4.6572593E-008, -3.15E-001
4.6587407E-008, -1.11E-001
4.6602222E-008, -3.15E-001
4.6617037E-008, -4.3E-002
4.6631852E-008, -3.15E-001
4.6646667E-008, -1.11E-001
4.6661481E-008, -1.80E-001
4.6676296E-008, -2.51E-001
4.6691111E-008, -2.51E-001
4.6705926E-008, -1.80E-001
4.6720741E-008, -1.80E-001
4.6735556E-008, -4.3E-002
4.6750370E-008, -1.80E-001
4.6765185E-008, -3.15E-001
4.6780000E-008, -4.3E-002
4.6794815E-008, -1.80E-001
4.6809630E-008, -1.11E-001
4.6824444E-008, -4.3E-002
4.6839259E-008, -1.11E-001
4.6854074E-008, -1.11E-001
4.6868889E-008, -4.3E-002
4.6883704E-008, -2.51E-001
4.6898519E-008, -1.80E-001
4.6913333E-008, -4.3E-002
4.6928148E-008, -4.3E-002
4.6942963E-008, -1.80E-001
4.6957778E-008, -1.80E-001
4.6972593E-008, -1.11E-001
4.6987407E-008, 2.9E-002
4.7002222E-008, -1.11E-001
4.7017037E-008, -4.3E-002
4.7031852E-008, 2.9E-002
4.7046667E-008, 2.9E-002
4.7061481E-008, 2.9E-002
4.7076296E-008, -1.80E-001
4.7091111E-008, -1.11E-001
4.7105926E-008, -4.3E-002
4.7120741E-008, 2.9E-002
4.7135556E-008, -4.3E-002
4.7150370E-008, -1.80E-001
4.7165185E-008, -1.11E-001
4.7180000E-008, -1.11E-001
4.7194815E-008, 2.9E-002
4.7209630E-008, -4.3E-002
4.7224444E-008, 2.9E-002
4.7239259E-008, -1.11E-001
4.7254074E-008, -1.11E-001
4.7268889E-008, -4.3E-002
4.7283704E-008, -1.11E-001
4.7298519E-008, 2.9E-002
4.7313333E-008, 2.9E-002
4.7328148E-008, 2.9E-002
4.7342963E-008, -1.11E-001
4.7357778E-008, 2.9E-002
4.7372593E-008, 2.9E-002
4.7387407E-008, -4.3E-002
4.7402222E-008, -4.3E-002
4.7417037E-008, -1.11E-001
4.7431852E-008, -4.3E-002
4.7446667E-008, -4.3E-002
4.7461481E-008, -1.11E-001
4.7476296E-008, -1.80E-001
4.7491111E-008, -4.3E-002
4.7505926E-008, -4.3E-002
4.7520741E-008, -1.11E-001
4.7535556E-008, -4.3E-002
4.7550370E-008, -1.11E-001
4.7565185E-008, -1.11E-001
4.7580000E-008, -4.3E-002
4.7594815E-008, -1.80E-001
4.7609630E-008, 1.69E-001
4.7624444E-008, 2.9E-002
4.7639259E-008, -4.3E-002
4.7654074E-008, 9.8E-002
4.7668889E-008, -1.11E-001
4.7683704E-008, 2.9E-002
4.7698519E-008, -4.3E-002
4.7713333E-008, -4.3E-002
4.7728148E-008, -4.3E-002
4.7742963E-008, -1.11E-001
4.7757778E-008, 2.9E-002
4.7772593E-008, -1.80E-001
4.7787407E-008, -1.80E-001
4.7802222E-008, -1.11E-001
4.7817037E-008, -1.11E-001
4.7831852E-008, -4.3E-002
4.7846667E-008, -1.80E-001
4.7861481E-008, -2.51E-001
4.7876296E-008, -1.11E-001
4.7891111E-008, 2.9E-002
4.7905926E-008, 2.9E-002
4.7920741E-008, -4.3E-002
4.7935556E-008, -1.11E-001
4.7950370E-008, -4.3E-002
4.7965185E-008, -4.3E-002
4.7980000E-008, -1.11E-001
4.7994815E-008, -1.80E-001
4.8009630E-008, -1.11E-001
4.8024444E-008, -1.80E-001
4.8039259E-008, -2.51E-001
4.8054074E-008, -1.11E-001
4.8068889E-008, -1.11E-001
4.8083704E-008, -2.51E-001
4.8098519E-008, -1.11E-001
4.8113333E-008, -3.15E-001
4.8128148E-008, -1.11E-001
4.8142963E-008, -2.51E-001
4.8157778E-008, -2.51E-001
4.8172593E-008, -3.79E-001
4.8187407E-008, -3.15E-001
4.8202222E-008, -2.51E-001
4.8217037E-008, -4.42E-001
4.8231852E-008, -1.11E-001
4.8246667E-008, -1.80E-001
4.8261481E-008, -4.42E-001
4.8276296E-008, -3.15E-001
4.8291111E-008, -1.80E-001
4.8305926E-008, -3.79E-001
4.8320741E-008, -1.80E-001
4.8335556E-008, -3.15E-001
4.8350370E-008, -3.79E-001
4.8365185E-008, -2.51E-001
4.8380000E-008, -3.15E-001
4.8394815E-008, -3.79E-001
4.8409630E-008, -2.51E-001
4.8424444E-008, -3.79E-001
4.8439259E-008, -3.15E-001
4.8454074E-008, -4.42E-001
4.8468889E-008, -1.80E-001
4.8483704E-008, -3.15E-001
4.8498519E-008, -3.15E-001
4.8513333E-008, -4.42E-001
4.8528148E-008, -3.15E-001
4.8542963E-008, -2.51E-001
4.8557778E-008, -5.72E-001
4.8572593E-008, -3.79E-001
4.8587407E-008, -2.51E-001
4.8602222E-008, -3.79E-001
4.8617037E-008, -4.42E-001
4.8631852E-008, -4.42E-001
4.8646667E-008, -3.79E-001
4.8661481E-008, -2.51E-001
4.8676296E-008, -3.79E-001
4.8691111E-008, -3.79E-001
4.8705926E-008, -3.15E-001
4.8720741E-008, -3.79E-001
4.8735556E-008, -3.15E-001
4.8750370E-008, -2.51E-001
4.8765185E-008, -3.15E-001
