Type:          average
Points:        1350
Count:         16
XInc:          7.407407E-012
XOrg:          1.04125000000E-007
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        1.00000E-008
XOffset:       1.04125000000E-007
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:50:01:82
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
1.04125000E-007, -9.364E-001
1.04132407E-007, -9.339E-001
1.04139815E-007, -9.035E-001
1.04147222E-007, -8.959E-001
1.04154630E-007, -9.187E-001
1.04162037E-007, -9.288E-001
1.04169444E-007, -8.857E-001
1.04176852E-007, -9.187E-001
1.04184259E-007, -8.680E-001
1.04191667E-007, -8.832E-001
1.04199074E-007, -9.009E-001
1.04206481E-007, -9.212E-001
1.04213889E-007, -9.313E-001
1.04221296E-007, -8.908E-001
1.04228704E-007, -9.085E-001
1.04236111E-007, -9.161E-001
1.04243519E-007, -9.491E-001
1.04250926E-007, -8.807E-001
1.04258333E-007, -9.161E-001
1.04265741E-007, -8.984E-001
1.04273148E-007, -9.009E-001
1.04280556E-007, -8.452E-001
1.04287963E-007, -9.339E-001
1.04295370E-007, -9.060E-001
1.04302778E-007, -9.339E-001
1.04310185E-007, -9.212E-001
1.04317593E-007, -9.313E-001
1.04325000E-007, -9.263E-001
1.04332407E-007, -8.452E-001
1.04339815E-007, -9.263E-001
1.04347222E-007, -8.857E-001
1.04354630E-007, -9.009E-001
1.04362037E-007, -8.984E-001
1.04369444E-007, -8.832E-001
1.04376852E-007, -8.984E-001
1.04384259E-007, -8.908E-001
1.04391667E-007, -8.908E-001
1.04399074E-007, -8.984E-001
1.04406481E-007, -8.629E-001
1.04413889E-007, -8.933E-001
1.04421296E-007, -8.731E-001
1.04428704E-007, -8.705E-001
1.04436111E-007, -9.187E-001
1.04443519E-007, -8.680E-001
1.04450926E-007, -9.187E-001
1.04458333E-007, -8.629E-001
1.04465741E-007, -8.705E-001
1.04473148E-007, -8.629E-001
1.04480556E-007, -8.579E-001
1.04487963E-007, -8.503E-001
1.04495370E-007, -8.452E-001
1.04502778E-007, -8.807E-001
